Dish.ID,Species,1,6,9,12,14,16,19,21,23,26,30,34,37,41,43,Length,Temperature,Moisture,Replicate,Start.Seeds,End.Seeds,Moldy,Empty,Viable,Starting.viable.count,Total.germinated
23,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,MF,NS,1,18,18,11,7,NA,0,0
23,FH,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,1M,MF,NS,1,18,9,2,6,1,10,9
24,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,FR,PO,3,18,18,8,8,2,2,0
24,FH,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,5M,FR,PO,3,18,11,2,4,5,12,7
25,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PO,1,18,18,9,4,5,5,0
25,FH,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,3M,MF,PO,1,18,11,5,6,NA,7,7
26,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,PO,3,18,18,10,2,6,6,0
26,FH,0,0,12,2,0,0,1,0,0,0,0,0,0,0,0,3M,DF,PO,3,18,3,2,1,NA,15,15
27,FC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1M,DF,PR,3,18,17,2,8,7,8,1
27,FH,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1M,DF,PR,3,18,13,3,6,4,9,5
28,FC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3M,FR,PO,1,18,17,3,7,7,8,1
28,FH,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,3M,FR,PO,1,18,11,0,5,6,13,7
29,FC,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5M,FR,NS,1,18,15,7,6,2,5,3
29,FH,0,1,5,2,1,0,0,0,0,0,0,1,0,0,0,5M,FR,NS,1,18,8,2,3,3,13,10
30,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,RT,PR,2,18,18,0,4,14,14,0
